episode_idx,failure_mode,condition,seed,success,final_distance,first_success_step,model
0,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
1,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
2,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
3,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
4,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
5,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
6,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
7,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
8,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
9,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
10,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
11,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
12,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
13,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
14,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
15,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
16,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
17,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
18,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
19,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
20,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
21,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
22,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
23,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
24,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
25,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
26,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
27,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
28,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
29,success,clean,0,1.0,0.0196744097083744,12.0,clean_2M
30,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
31,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
32,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
33,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
34,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
35,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
36,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
37,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
38,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
39,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
40,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
41,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
42,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
43,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
44,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
45,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
46,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
47,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
48,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
49,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
50,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
51,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
52,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
53,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
54,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
55,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
56,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
57,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
58,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
59,never_reached_object,sensor_dropout,0,0.0,0.3549225360528287,,clean_2M
60,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
61,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
62,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
63,reached_but_failed_grasp,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
64,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
65,reached_but_failed_grasp,sensor_bias,0,0.0,0.3769835524738389,,clean_2M
66,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
67,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
68,reached_but_failed_grasp,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
69,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
70,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
71,reached_but_failed_grasp,sensor_bias,0,0.0,0.3548359969820484,,clean_2M
72,never_reached_object,sensor_bias,0,0.0,0.8144737327505811,,clean_2M
73,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
74,reached_but_failed_grasp,sensor_bias,0,0.0,0.7150148653820455,,clean_2M
75,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
76,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
77,reached_but_failed_grasp,sensor_bias,0,0.0,0.6538003702521104,,clean_2M
78,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
79,reached_but_failed_grasp,sensor_bias,0,0.0,0.3559514062304958,,clean_2M
80,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
81,reached_but_failed_grasp,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
82,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
83,reached_but_failed_grasp,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
84,never_reached_object,sensor_bias,0,0.0,0.3544272903159963,,clean_2M
85,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
86,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
87,reached_but_failed_grasp,sensor_bias,0,0.0,0.3873673801416125,,clean_2M
88,never_reached_object,sensor_bias,0,0.0,0.3549225360528287,,clean_2M
89,reached_but_failed_grasp,sensor_bias,0,0.0,0.372276430803239,,clean_2M
90,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
91,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
92,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
93,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
94,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
95,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
96,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
97,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
98,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
99,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
100,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
101,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
102,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
103,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
104,success,action_clipping,0,1.0,0.0156151223721789,41.0,clean_2M
