benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B0,sac_her,clean,0.0,0.0,-150.0,0.336927816199067,150.0,0.032567824795842124,1.4814727067947389,0.0,0.0,150,0.0,0.0,0.0,1.0,1.0,0.4,0.44999999999999996,0.44999999999999996
B1,sac_her,action_clipping,0.3,0.0,-150.0,0.336927816199067,150.0,0.02039928240701552,0.5335503101348877,0.0,0.0,150,0.0,0.2582021903411397,0.0,1.0,0.0,0.25164043806822795,0.20164043806822796,0.20164043806822796
B1,sac_her,action_delay,0.0,0.0,-150.0,0.336927816199067,150.0,0.04442037455737586,1.4784239768981933,0.0,0.0,150,0.0,0.08809823549226889,0.0,1.0,0.0,0.21761964709845377,0.16761964709845378,0.16761964709845378
B1,sac_her,action_reversal,0.0,0.0,-150.0,0.336927816199067,150.0,0.029313348233699757,0.8655409812927246,0.0,0.0,150,0.0,0.19507775613928305,0.0,1.0,0.0,0.23901555122785664,0.1890155512278566,0.1890155512278566
B1,sac_her,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.025520776771008922,1.6184666395187377,0.0,0.0,150,0.0,0.22193462845851272,0.0,1.0,0.0,0.24438692569170253,0.19438692569170254,0.19438692569170254
B1,sac_her,goal_spoof_immediate,0.1,0.0,-150.0,0.3361949461956163,150.0,0.05648567588378981,1.3421592706441878,0.0,0.0,150,0.0,0.003957821901782976,0.0,1.0,0.0,0.2007915643803566,0.1507915643803566,0.1507915643803566
B1,sac_her,goal_spoof_midep,0.1,0.0,-150.0,0.336927816199067,150.0,0.04681081392491852,1.4237689876556396,0.0,0.0,150,0.0,0.07117047934778643,0.0,1.0,0.0,0.21423409586955733,0.16423409586955728,0.16423409586955728
B1,sac_her,grip_state_falsification,0.0,0.0,-150.0,0.336927816199067,150.0,0.030251407623290996,1.4739344358444213,0.0,0.0,150,0.0,0.18843494360379245,0.0,1.0,0.0,0.2376869887207585,0.18768698872075848,0.18768698872075848
B1,sac_her,object_pose_spoof,0.1,0.0,-150.0,0.33584622604525544,150.0,0.036015531048178624,1.3666505444049835,0.013333333333333334,0.0,150,0.0,0.14953419985298652,0.0,0.9866666666666667,0.0,0.22724017330393065,0.1779068399705973,0.1779068399705973
B1,sac_her,sensor_bias,0.1,0.0,-150.0,0.3384273380803102,150.0,0.051848393303031676,1.3006820340951284,0.006666666666666667,0.0,150,0.0,0.03283864454626406,0.0,0.9933333333333333,0.0,0.2052343955759195,0.1555677289092528,0.1555677289092528
B1,sac_her,sensor_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,4.723762736524862e-09,1.6233586311340331,0.0,0.0,150,0.0,0.4026584785174272,0.0,1.0,0.0,0.28053169570348546,0.23053169570348545,0.23053169570348545
