episode_idx,min_dto,mean_dto,final_dto,dto_slope,min_dttg,max_dttg,mean_dttg,final_dttg,initial_dttg,dttg_range,dttg_slope,near_goal_frac,goal_offset_max,goal_offset_mean,min_dtpg,final_dtpg,mean_anrm,max_anrm,std_anrm,anrm_slope,mean_action_ratio,action_corrupted_frac,mean_aper,std_aper,max_aper,min_aper,max_ovz,mean_ovz,safety_violation_rate,is_success_any,n_success_steps,final_is_success,total_reward,mean_reward,failure_mode,condition,seed,model
0,0.0065479684538634,0.01472648017174814,0.010425770983689,-0.00016560559291686433,0.0177473750484519,0.3549225360528287,0.03893455499940313,0.0196744097083744,0.3549225360528285,0.3371751610043768,-0.000725785799025167,0.92,0.0,0.0,0.0177473750484519,0.0196744097083744,0.9910549012819926,1.9257787466049192,0.25384019971588173,-0.002956260433991364,1.0,0.0,0.04992627616245648,0.008223632172881783,0.1031434138281772,0.0421753434241312,0.025795379979209,0.0005584644768709134,0.0,1.0,138,1.0,-12.0,-0.08,success,clean,0,clean_2M
1,0.0033149392296369,0.012763154516162067,0.0129427821245723,-4.6919454969730594e-05,0.0317992925180139,0.3884547745878025,0.058857218808689576,0.034429519515542,0.3884547745878025,0.3566554820697886,-0.0009101113732353398,0.8933333333333333,0.0,0.0,0.0317992925180139,0.034429519515542,1.0467588226000468,1.91727614402771,0.18300954399332892,-0.002240135096736454,1.0,0.0,0.04956386580969506,0.008293559745372376,0.1031434175546819,0.040096991230438,0.0228224708025758,0.0004976138650418067,0.0,1.0,134,1.0,-16.0,-0.10666666666666667,success,clean,0,clean_2M
2,0.0095626264752585,0.015593555707230073,0.0155737079334635,-5.9212997019273844e-05,0.0094277591814705,0.2364647567318055,0.020303327816462095,0.0096784710835269,0.2364647567318055,0.22703699755033502,-0.0004014511679764991,0.9466666666666667,0.0,0.0,0.0094277591814705,0.0096784710835269,1.0397358353932697,1.9063563346862793,0.1698180941100634,-0.0016488342333054122,1.0,0.0,0.04957650701163192,0.008299302797914467,0.1031434182313274,0.0416163079986726,0.0250912411714534,0.00043963370164921755,0.0,1.0,142,1.0,-8.0,-0.05333333333333334,success,clean,0,clean_2M
3,0.0027012507324597,0.008983562071904353,0.0091244934790293,-4.6622921660638795e-05,0.026859696974702,0.3213978839617424,0.04280880029645348,0.0274878870868372,0.3213978839617424,0.29453818698704043,-0.0005839758071898083,0.9133333333333333,0.0,0.0,0.026859696974702,0.0274878870868372,1.0351385565598805,1.973294258117676,0.19231085205922074,-0.002021179958695156,1.0,0.0,0.04923301828950914,0.007160571525046926,0.103143465568655,0.0424708765814937,0.0239221129150878,0.00045328179254753084,0.0,1.0,137,1.0,-13.0,-0.08666666666666667,success,clean,0,clean_2M
4,0.0080872270293633,0.01292244470300068,0.0100961025013453,-8.770657717704677e-05,0.0301120354590607,0.383399145765635,0.05349028769543658,0.0314900249628835,0.383399145765635,0.3532871103065743,-0.0008366165259212908,0.9,0.0,0.0,0.0301120354590607,0.0314900249628835,1.0324398628870646,1.6295228004455566,0.15708980376614223,-0.0019214216889982853,1.0,0.0,0.049513558308631245,0.007114785186674903,0.1031441565508932,0.0431280635959229,0.0234253616678219,0.0004801923017001318,0.0,1.0,135,1.0,-15.0,-0.1,success,clean,0,clean_2M
5,0.0141266474701174,0.018232569485060177,0.0194072529935175,-2.3911927127177976e-05,0.0192022079731016,0.2566632429100925,0.03357510343996457,0.0253181127469837,0.2566632429100925,0.23746103493699092,-0.0003338978699411512,0.9466666666666667,0.0,0.0,0.0192022079731016,0.0253181127469837,1.0316592927773793,1.9075273275375368,0.17295747716500154,-0.001657716364504275,1.0,0.0,0.04897710033569895,0.005661461916805902,0.1031434346439379,0.0433491829534864,0.0230534551837721,0.00042299830279496863,0.0,1.0,142,1.0,-8.0,-0.05333333333333334,success,clean,0,clean_2M
6,0.0049001318829844,0.010440955090772575,0.0145473769711017,-3.395786685149536e-05,0.0049747822475159,0.1327306206462278,0.018193045433655727,0.0187460956719989,0.1327306206462278,0.12775583839871188,-0.00020117000984928578,0.9533333333333334,0.0,0.0,0.0049747822475159,0.0187460956719989,1.1932601447900135,1.7448548078536987,0.12761030734436724,-0.00043851713947924394,1.0,0.0,0.04960597776022277,0.00808226337947133,0.1019805207456508,0.0413473373050268,0.0239840151643645,0.0004928445717244213,0.0,1.0,143,1.0,-7.0,-0.04666666666666667,success,clean,0,clean_2M
7,0.0100677271269539,0.021127047576122382,0.026684789660624,-5.286296450273379e-05,0.0073507566443668,0.2066018563784001,0.023242351910625274,0.0157643461119405,0.2066018563783996,0.1992510997340333,-0.0002496451084188106,0.9533333333333334,0.0,0.0,0.0073507566443668,0.0157643461119405,0.9023062141736349,1.778745174407959,0.17082875021749772,-0.001893219055771925,1.0,0.0,0.049662020606848385,0.0072401579266071605,0.1031434182122019,0.045393402373407,0.0301576701233329,0.0006241339822267155,0.0,1.0,143,1.0,-7.0,-0.04666666666666667,success,clean,0,clean_2M
8,0.007809293052572,0.0204103583642443,0.0208076637828161,-4.99450405649589e-05,0.0233207445417735,0.2066037705576479,0.03440881134735093,0.0251202656454449,0.2058833283113514,0.1832830260158744,-0.00037636730042467554,0.9333333333333333,0.0,0.0,0.0233207445417735,0.0251202656454449,1.031036187807719,1.6617201566696167,0.1505640049162474,-0.0015884729626814637,1.0,0.0,0.04958496741835222,0.008283749628069464,0.1031434126149209,0.0408986095603168,0.0221159889992832,0.0004822729359297889,0.0,1.0,140,1.0,-10.0,-0.06666666666666667,success,clean,0,clean_2M
9,0.0072513259857902,0.012078235370200353,0.0072513259857902,-0.00014375310407335236,0.0128112526784819,0.1676100894760241,0.021618807201235494,0.0166603729721261,0.1676100894760236,0.1547988367975422,-0.00019936135374470034,0.96,0.0,0.0,0.0128112526784819,0.0166603729721261,0.9621554978688558,1.9532153606414795,0.17574942223709816,-0.0013769908247854975,1.0,0.0,0.04955465213917428,0.00712252814637237,0.1031434709028276,0.0433486840685483,0.0251924595641016,0.0005379200664155393,0.0,1.0,144,1.0,-6.0,-0.04,reached_but_failed_grasp,clean,0,clean_2M
