method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
sac_her,action_clipping,0.3,1.0,-43.4,0.027652072390551976,150.0,0.13298920989036558,0.40059501528739927,0.0,0.0,150,1.0,0.9146394083702858,1.0,1.0,0.0,0.7829278816740572,0.6829278816740572,0.6829278816740572
sac_her,action_delay,0.0,1.0,-19.2,0.027939878345281725,150.0,0.2464989811182022,1.1048609733581543,0.0,0.0,150,1.0,0.8782898592861438,1.0,1.0,0.0,0.7756579718572287,0.6756579718572288,0.6756579718572288
sac_her,action_reversal,0.0,0.0,-150.0,0.336927816199067,150.0,0.04306399300694462,1.4064585089683532,0.0,0.0,150,0.0,0.4587762886271499,0.0,1.0,0.0,0.29175525772543004,0.24175525772543,0.24175525772543
sac_her,clean,0.0,1.0,-12.8,0.0245520624714328,150.0,0.09838000982999798,1.0290256023406983,0.0,0.0,150,1.0,0.9304393826913431,1.0,1.0,1.0,0.9860878765382687,0.9860878765382686,0.9860878765382686
sac_her,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.033602590858936264,1.0121923446655274,0.0,0.0,150,0.0,0.4617685738313918,0.0,1.0,0.0,0.2923537147662784,0.24235371476627837,0.24235371476627837
sac_her,goal_spoof_immediate,0.1,0.05333333333333334,-141.94,0.09553295009955792,150.0,0.2617615869889656,1.084785973628362,0.0,0.0,150,0.05333333333333334,0.7676170903097159,0.05333333333333334,1.0,0.0,0.3748567513952765,0.3221900847286099,0.3221900847286099
sac_her,goal_spoof_midep,0.1,0.07333333333333333,-95.26666666666667,0.0967018873485223,150.0,0.23056007723013555,1.070415289402008,0.0,0.0,150,0.07333333333333333,0.7756544830661172,0.07333333333333333,1.0,0.0,0.3844642299465568,0.3307975632798901,0.3307975632798901
sac_her,grip_state_falsification,0.0,0.0,-150.0,0.32911330818962165,150.0,1.2647727742791175,1.23794367313385,0.0,0.0,150,0.0,0.08463275300801769,0.0,1.0,0.0,0.21692655060160357,0.16692655060160352,0.16692655060160352
sac_her,object_pose_spoof,0.1,0.15333333333333332,-127.20666666666666,0.0779896287801364,150.0,0.23657487389942006,1.0725223473707834,0.006666666666666667,0.0,150,0.15333333333333332,0.8030542507341265,0.15333333333333332,0.9933333333333333,0.0,0.4206108501468253,0.36327751681349196,0.36327751681349196
sac_her,sensor_bias,0.1,0.0,-150.0,0.38315974883216636,150.0,0.8239582780065636,1.1175087266167005,0.0,0.0,150,0.0,0.13941302508628237,0.0,1.0,0.0,0.2278826050172565,0.17788260501725647,0.17788260501725647
sac_her,sensor_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,8.388878924847632e-10,1.730592918395996,0.0,0.0,150,0.0,0.47239580765659833,0.0,1.0,0.0,0.2944791615313197,0.24447916153131966,0.24447916153131966
sac_her_recovery_v2,action_clipping,0.3,0.8,-54.4,0.09180486198159118,150.0,0.08067783713340755,0.40405453443527223,0.0,1.0,150,0.8,0.8307249731165273,0.8,1.0,0.0,0.6861449946233056,0.5961449946233055,0.5961449946233055
sac_her_recovery_v2,action_delay,0.0,1.0,-19.6,0.0267210713264706,150.0,0.2676076292991638,1.0981780290603638,0.2,1.0,150,1.0,0.8735225509658795,1.0,0.8,0.0,0.734704510193176,0.6447045101931759,0.6447045101931759
sac_her_recovery_v2,action_reversal,0.0,0.0,-150.0,0.336927816199067,150.0,0.07922091260552404,1.3713188529014588,0.0,1.0,150,0.0,0.44734121654657394,0.0,1.0,0.0,0.2894682433093148,0.2394682433093148,0.2394682433093148
sac_her_recovery_v2,clean,0.0,1.0,-12.8,0.0245520624714328,150.0,0.09838000982999798,1.0290256023406983,0.0,0.0,150,1.0,0.9304393826913431,1.0,1.0,1.0,0.9860878765382687,0.9860878765382686,0.9860878765382686
sac_her_recovery_v2,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.06127315461635586,1.012452232837677,0.0,1.0,150,0.0,0.4530174165262574,0.0,1.0,0.0,0.2906034833052515,0.24060348330525147,0.24060348330525147
sac_her_recovery_v2,goal_spoof_immediate,0.1,0.07333333333333333,-139.18,0.0973411753156921,150.0,0.27232600490252173,1.0861875998973847,0.0,0.20666666666666667,150,0.07333333333333333,0.7614444149929216,0.07333333333333333,1.0,0.019999999999999997,0.3856222163319177,0.333955549665251,0.333955549665251
sac_her_recovery_v2,goal_spoof_midep,0.1,0.06,-96.64666666666666,0.09625447342454728,150.0,0.31451953778664266,1.0783613506952923,0.0,0.02666666666666667,150,0.06,0.7498018847318195,0.06,1.0,0.0,0.37396037694636397,0.3209603769463639,0.3209603769463639
sac_her_recovery_v2,grip_state_falsification,0.0,0.0,-150.0,0.3305241015379738,150.0,1.17899050116539,1.2379804372787475,0.2,1.0,150,0.0,0.10955325695208418,0.0,0.8,0.0,0.18191065139041684,0.14191065139041684,0.14191065139041684
sac_her_recovery_v2,object_pose_spoof,0.1,0.18,-123.34,0.0766162245888846,150.0,0.280818522448341,1.085615934530894,0.08,0.4066666666666667,150,0.18,0.7912123008170374,0.18,0.92,0.026666666666666672,0.4195757934967409,0.3672424601634075,0.3672424601634075
sac_her_recovery_v2,sensor_bias,0.1,0.0,-150.0,0.37761931906927776,150.0,0.8901292995611827,1.1367485586802164,0.26,1.0,150,0.0,0.12716152854378218,0.0,0.74,0.0,0.17343230570875645,0.13643230570875645,0.13643230570875645
sac_her_recovery_v2,sensor_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.01941215060651298,1.5903028011322022,0.0,1.0,150,0.0,0.4662564757030972,0.0,1.0,0.0,0.29325129514061943,0.24325129514061944,0.24325129514061944
sac_her_recovery_v3,action_clipping,0.3,0.8,-70.6,0.09997277286396981,150.0,0.1095594778656959,0.456522136926651,0.0,1.0,150,0.8,0.8088004497647556,0.8,1.0,0.0,0.6817600899529511,0.5917600899529512,0.5917600899529512
sac_her_recovery_v3,action_delay,0.0,1.0,-61.8,0.021723395537720704,150.0,0.3651682734489441,1.2362404346466065,0.4,1.0,150,1.0,0.8504937860344679,1.0,0.6,0.0,0.6900987572068936,0.6100987572068935,0.6100987572068935
sac_her_recovery_v3,action_reversal,0.0,0.0,-150.0,0.336927816199067,150.0,0.06747111678123469,1.3453256964683533,0.0,1.0,150,0.0,0.4510572344948529,0.0,1.0,0.0,0.2902114468989706,0.2402114468989706,0.2402114468989706
sac_her_recovery_v3,clean,0.0,1.0,-12.8,0.0245520624714328,150.0,0.09838000982999798,1.0290256023406983,0.0,0.0,150,1.0,0.9304393826913431,1.0,1.0,1.0,0.9860878765382687,0.9860878765382686,0.9860878765382686
sac_her_recovery_v3,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.0619840987026691,1.054998552799225,0.0,1.0,150,0.0,0.4527925716843154,0.0,1.0,0.0,0.29055851433686314,0.2405585143368631,0.2405585143368631
sac_her_recovery_v3,goal_spoof_immediate,0.1,0.08,-138.84,0.10989204702522465,150.0,0.25919810384511943,1.0968840940793356,0.04666666666666667,0.2733333333333333,150,0.08,0.7459425332671243,0.08,0.9533333333333334,0.026666666666666665,0.37718850665342485,0.32818850665342486,0.32818850665342486
sac_her_recovery_v3,goal_spoof_midep,0.1,0.05333333333333334,-96.72,0.10189067375786671,150.0,0.25256470486521715,1.0748840936024984,0.0,0.04666666666666667,150,0.05333333333333334,0.7605699899087927,0.05333333333333334,1.0,0.0,0.3734473313150919,0.3207806646484252,0.3207806646484252
sac_her_recovery_v3,grip_state_falsification,0.0,0.0,-150.0,0.335863160913028,150.0,0.9343177497386932,1.336682176589966,0.4,1.0,150,0.0,0.1785734599028369,0.0,0.6,0.0,0.1557146919805674,0.1257146919805674,0.1257146919805674
sac_her_recovery_v3,object_pose_spoof,0.1,0.20666666666666667,-122.79333333333334,0.09172553435917355,150.0,0.3172808142751455,1.0979587320486706,0.05333333333333334,0.35333333333333333,150,0.20666666666666667,0.7560205826089781,0.20666666666666667,0.9466666666666667,0.053333333333333344,0.4338707831884623,0.38153744985512894,0.38153744985512894
sac_her_recovery_v3,sensor_bias,0.1,0.006666666666666667,-149.1,0.3591437071656625,150.0,0.7213159304857254,1.1557436219851176,0.35333333333333333,0.9866666666666667,150,0.006666666666666667,0.20948229011968678,0.006666666666666667,0.6466666666666667,0.006666666666666667,0.1752297913572707,0.1432297913572707,0.1432297913572707
sac_her_recovery_v3,sensor_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.01941215060651298,1.5845304250717163,0.0,1.0,150,0.0,0.4662564757030972,0.0,1.0,0.0,0.29325129514061943,0.24325129514061944,0.24325129514061944
