method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,first_success_step,episode_idx,env
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,0,diag_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,1,diag_clean_2M
sac_her,clean,0,0.0,-12.0,1.0,0.019674409708374488,150,0.08487976342439651,0.991054892539978,0.0,0.0,12.0,2,diag_clean_2M
sac_her,sensor_dropout,0,0.0,-150.0,0.0,0.35492253605282875,150,1.1314590375732791e-09,1.600849986076355,0.0,0.0,,3,diag_clean_2M
sac_her,sensor_dropout,0,0.0,-150.0,0.0,0.35492253605282875,150,1.1314590375732791e-09,1.600849986076355,0.0,0.0,,4,diag_clean_2M
sac_her,sensor_dropout,0,0.0,-150.0,0.0,0.35492253605282875,150,1.1314590375732791e-09,1.600849986076355,0.0,0.0,,5,diag_clean_2M
sac_her,sensor_bias,0,0.1,-150.0,0.0,0.35492253605282875,150,1.4405944347381592,0.8180466890335083,0.0,0.0,,6,diag_clean_2M
sac_her,sensor_bias,0,0.1,-150.0,0.0,0.35492253605282875,150,2.0632386207580566,1.5478267669677734,0.0,0.0,,7,diag_clean_2M
sac_her,sensor_bias,0,0.1,-150.0,0.0,0.35492253605282875,150,1.673161506652832,1.374976396560669,0.0,0.0,,8,diag_clean_2M
sac_her,action_clipping,0,0.3,-41.0,1.0,0.015615122372178903,150,0.042987748980522156,0.4649979770183563,0.0,0.0,41.0,9,diag_clean_2M
sac_her,action_clipping,0,0.3,-41.0,1.0,0.015615122372178903,150,0.042987748980522156,0.4649979770183563,0.0,0.0,41.0,10,diag_clean_2M
sac_her,action_clipping,0,0.3,-41.0,1.0,0.015615122372178903,150,0.042987748980522156,0.4649979770183563,0.0,0.0,41.0,11,diag_clean_2M
sac_her,action_delay,0,0.0,-16.0,1.0,0.01784555487126494,150,0.0874251201748848,1.0080902576446533,0.0,0.0,16.0,12,diag_clean_2M
sac_her,action_delay,0,0.0,-16.0,1.0,0.01784555487126494,150,0.0874251201748848,1.0080902576446533,0.0,0.0,16.0,13,diag_clean_2M
sac_her,action_delay,0,0.0,-16.0,1.0,0.01784555487126494,150,0.0874251201748848,1.0080902576446533,0.0,0.0,16.0,14,diag_clean_2M
sac_her,action_reversal,0,0.0,-150.0,0.0,0.35492253605282875,150,0.04873151704668999,0.9882540106773376,0.0,0.0,,15,diag_clean_2M
sac_her,action_reversal,0,0.0,-150.0,0.0,0.35492253605282875,150,0.04873151704668999,0.9882540106773376,0.0,0.0,,16,diag_clean_2M
sac_her,action_reversal,0,0.0,-150.0,0.0,0.35492253605282875,150,0.04873151704668999,0.9882540106773376,0.0,0.0,,17,diag_clean_2M
sac_her,goal_spoof_immediate,0,0.1,-147.0,0.0,0.1023785213058827,150,0.073841392993927,1.2622504234313965,0.0,0.0,12.0,18,diag_clean_2M
sac_her,goal_spoof_immediate,0,0.1,-150.0,0.0,0.0727332673112976,150,0.07951702922582626,1.0169472694396973,0.0,0.0,,19,diag_clean_2M
sac_her,goal_spoof_immediate,0,0.1,-150.0,0.0,0.10493935111979091,150,0.40864306688308716,1.017148494720459,0.0,0.0,,20,diag_clean_2M
sac_her,goal_spoof_midep,0,0.1,-88.0,0.0,0.05460498350808482,150,0.10356979817152023,1.2372102737426758,0.0,0.0,12.0,21,diag_clean_2M
sac_her,goal_spoof_midep,0,0.1,-101.0,0.0,0.11162497871838398,150,0.10678675025701523,1.1577171087265015,0.0,0.0,12.0,22,diag_clean_2M
sac_her,goal_spoof_midep,0,0.1,-101.0,0.0,0.11462056668946587,150,0.11830352991819382,1.1187373399734497,0.0,0.0,12.0,23,diag_clean_2M
sac_her,object_pose_spoof,0,0.1,-142.0,0.0,0.0582834846672038,150,0.0744980126619339,0.9244354367256165,0.0,0.0,12.0,24,diag_clean_2M
sac_her,object_pose_spoof,0,0.1,-13.0,1.0,0.04473853883258938,150,0.08443175256252289,1.1620392799377441,0.0,0.0,13.0,25,diag_clean_2M
sac_her,object_pose_spoof,0,0.1,-150.0,0.0,0.08005587328020063,150,0.5711380243301392,1.298906683921814,0.0,0.0,,26,diag_clean_2M
sac_her,grip_state_falsification,0,0.0,-150.0,0.0,0.31591226020030483,150,0.7106038928031921,1.0684840679168701,0.0,0.0,,27,diag_clean_2M
sac_her,grip_state_falsification,0,0.0,-150.0,0.0,0.31591226020030483,150,0.7106038928031921,1.0684840679168701,0.0,0.0,,28,diag_clean_2M
sac_her,grip_state_falsification,0,0.0,-150.0,0.0,0.31591226020030483,150,0.7106038928031921,1.0684840679168701,0.0,0.0,,29,diag_clean_2M
sac_her,contact_dropout,0,0.0,-150.0,0.0,0.35492253605282875,150,0.026406200602650642,0.9988141059875488,0.0,0.0,,30,diag_clean_2M
sac_her,contact_dropout,0,0.0,-150.0,0.0,0.35492253605282875,150,0.026406200602650642,0.9988141059875488,0.0,0.0,,31,diag_clean_2M
sac_her,contact_dropout,0,0.0,-150.0,0.0,0.35492253605282875,150,0.026406200602650642,0.9988141059875488,0.0,0.0,,32,diag_clean_2M
