episode_idx,failure_mode,condition,seed,any_success
0,success,clean,0,1.0
1,success,clean,0,1.0
2,success,clean,0,1.0
3,never_reached_object,sensor_dropout,0,0.0
4,never_reached_object,sensor_dropout,0,0.0
5,never_reached_object,sensor_dropout,0,0.0
6,never_reached_object,sensor_bias,0,0.0
7,never_reached_object,sensor_bias,0,0.0
8,never_reached_object,sensor_bias,0,0.0
9,success,action_clipping,0,1.0
10,success,action_clipping,0,1.0
11,success,action_clipping,0,1.0
12,success,action_delay,0,1.0
13,success,action_delay,0,1.0
14,success,action_delay,0,1.0
15,never_reached_object,action_reversal,0,0.0
16,never_reached_object,action_reversal,0,0.0
17,never_reached_object,action_reversal,0,0.0
18,wrong_direction,goal_spoof_immediate,0,1.0
19,spoofed_goal,goal_spoof_immediate,0,0.0
20,spoofed_goal,goal_spoof_immediate,0,0.0
21,spoofed_goal,goal_spoof_midep,0,1.0
22,spoofed_goal,goal_spoof_midep,0,1.0
23,spoofed_goal,goal_spoof_midep,0,1.0
24,wrong_direction,object_pose_spoof,0,1.0
25,success,object_pose_spoof,0,1.0
26,wrong_direction,object_pose_spoof,0,0.0
27,reached_but_failed_grasp,grip_state_falsification,0,0.0
28,reached_but_failed_grasp,grip_state_falsification,0,0.0
29,reached_but_failed_grasp,grip_state_falsification,0,0.0
30,never_reached_object,contact_dropout,0,0.0
31,never_reached_object,contact_dropout,0,0.0
32,never_reached_object,contact_dropout,0,0.0
