episode_idx,method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,recovery_version,benchmark_layer,env
0,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
1,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
2,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
3,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
4,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
5,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
6,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
7,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
8,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
9,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
10,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
11,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
12,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
13,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
14,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
15,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
16,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
17,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
18,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
19,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
20,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
21,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
22,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
23,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
24,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
25,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
26,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
27,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
28,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
29,sac_her,clean,0,0.0,-150.0,0.0,0.3422560669025559,150,0.2863060235977173,1.6470431089401243,0.0,0.0,none,B0,sac_her_pickandplace_randomized_2M
30,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
31,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
32,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
33,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
34,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
35,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
36,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
37,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
38,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
39,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
40,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
41,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
42,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
43,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
44,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
45,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
46,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
47,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
48,sac_her_recovery_v2,clean,0,0.0,-30.0,1.0,0.0059909144219438,150,0.4929587841033935,1.2709753513336182,0.0,1.0,v2,B2,sac_her_pickandplace_randomized_2M
