benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B0,sac_her,clean,0.0,1.0,-12.8,0.0245520624714328,150.0,0.09838000982999798,1.0290256023406983,0.0,0.0,150,1.0,0.0,1.0,1.0,1.0,0.8,0.8,0.8
B1,sac_her,action_clipping,0.3,1.0,-43.4,0.027652072390551976,150.0,0.13298920989036558,0.40059501528739927,0.0,0.0,150,1.0,0.9131606079020247,1.0,1.0,0.0,0.782632121580405,0.682632121580405,0.682632121580405
B1,sac_her,action_delay,0.0,1.0,-19.2,0.0279398783452817,150.0,0.2464989811182022,1.1048609733581543,0.0,0.0,150,1.0,0.8767956672922633,1.0,1.0,0.0,0.7753591334584526,0.6753591334584527,0.6753591334584527
B1,sac_her,action_reversal,0.0,0.0,-150.0,0.336927816199067,150.0,0.04306399300694462,1.4064585089683532,0.0,0.0,150,0.0,0.4407577833473924,0.0,1.0,0.0,0.2881515566694785,0.2381515566694785,0.2381515566694785
B1,sac_her,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.033602590858936264,1.0121923446655274,0.0,0.0,150,0.0,0.4437500685516343,0.0,1.0,0.0,0.2887500137103269,0.23875001371032686,0.23875001371032686
B1,sac_her,goal_spoof_immediate,0.1,0.12666666666666668,-133.13333333333333,0.09690451845381517,150.0,0.339340540866057,1.0881221588452656,0.0,0.0,150,0.12666666666666668,0.7357516731984036,0.12666666666666668,1.0,0.0,0.39781700130634745,0.34148366797301405,0.34148366797301405
B1,sac_her,goal_spoof_midep,0.1,0.08,-94.94,0.09672424243783083,150.0,0.2325882402559121,1.073084688981374,0.0,0.0,150,0.08,0.7698053457683125,0.08,1.0,0.0,0.3859610691536625,0.3319610691536625,0.3319610691536625
B1,sac_her,grip_state_falsification,0.0,0.0,-150.0,0.32911330818962165,150.0,1.2647727742791175,1.23794367313385,0.0,0.0,150,0.0,0.06703215847073116,0.0,1.0,0.0,0.21340643169414625,0.16340643169414623,0.16340643169414623
B1,sac_her,object_pose_spoof,0.1,0.14,-129.86666666666667,0.08599100186944214,150.0,0.25788871474564073,1.065646469593048,0.0,0.0,150,0.14,0.7791852253028586,0.14,1.0,0.0,0.4118370450605717,0.35483704506057173,0.35483704506057173
B1,sac_her,sensor_bias,0.1,0.0,-150.0,0.37050637867224623,150.0,0.8019841371973355,1.1272789645195007,0.006666666666666667,0.0,150,0.0,0.14636261832740907,0.0,0.9933333333333333,0.0,0.2279391903321485,0.1782725236654818,0.1782725236654818
B1,sac_her,sensor_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,8.388878924847632e-10,1.730592918395996,0.0,0.0,150,0.0,0.4543773023768408,0.0,1.0,0.0,0.2908754604753682,0.24087546047536817,0.24087546047536817
