method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
sac_her,action_clipping,0.3,0.0,-150.0,0.336927816199067,150.0,0.00615704734809692,0.5535893559455871,0.0,0.0,150,0.0,0.513236707774645,0.0,1.0,0.0,0.30264734155492906,0.252647341554929,0.252647341554929
sac_her,action_delay,0.0,0.0,-150.0,0.336927816199067,150.0,0.0389699213206768,1.2572230696678162,0.0,0.0,150,0.0,0.4634225758757113,0.0,1.0,0.0,0.29268451517514227,0.24268451517514225,0.24268451517514225
sac_her,action_reversal,0.0,0.0,-150.0,0.336927816199067,150.0,0.043141606077551777,1.1968605995178223,0.0,0.0,150,0.0,0.45708942581718864,0.0,1.0,0.0,0.29141788516343775,0.24141788516343773,0.24141788516343773
sac_her,clean,0.0,0.0,-150.0,0.336927816199067,150.0,0.030013149604201265,1.2530144214630128,0.0,0.0,150,0.0,0.47702009884934643,0.0,1.0,1.0,0.4954040197698693,0.5454040197698693,0.5454040197698693
sac_her,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.019185069948434778,1.2926369190216065,0.0,0.0,150,0.0,0.49345850618407905,0.0,1.0,0.0,0.2986917012368158,0.2486917012368158,0.2486917012368158
sac_her,goal_spoof_immediate,0.1,0.0,-150.0,0.3371912726316138,150.0,0.058957576428850446,1.2966621162494023,0.0,0.0,150,0.0,0.4327054541336171,0.0,1.0,0.0,0.2865410908267234,0.23654109082672342,0.23654109082672342
sac_her,goal_spoof_midep,0.1,0.0,-150.0,0.33761289612112044,150.0,0.058644426551957875,1.2927559814850489,0.0,0.0,150,0.0,0.4325834284155364,0.0,1.0,0.0,0.2865166856831073,0.23651668568310727,0.23651668568310727
sac_her,grip_state_falsification,0.0,0.0,-150.0,0.336927816199067,150.0,0.02646780069917436,1.2858402252197265,0.0,0.0,150,0.0,0.48240239112067673,0.0,1.0,0.0,0.29648047822413537,0.24648047822413535,0.24648047822413535
sac_her,object_pose_spoof,0.1,0.0,-150.0,0.336927816199067,150.0,0.03714249917616442,1.2149593176941076,0.0,0.0,150,0.0,0.46619683599745015,0.0,1.0,0.0,0.29323936719949006,0.24323936719949002,0.24323936719949002
sac_her,sensor_bias,0.1,0.0,-150.0,0.3414927868463357,150.0,0.05672067744657393,1.4077167701721192,0.0,0.0,150,0.0,0.4300062421522629,0.0,1.0,0.0,0.28600124843045255,0.2360012484304526,0.2360012484304526
sac_her,sensor_dropout,0.0,0.0,-150.0,0.42343918902647926,150.0,0.002367291870658528,1.5787606716156006,0.0,0.0,150,0.0,0.3964061487089854,0.0,1.0,0.0,0.2792812297417971,0.22928122974179707,0.22928122974179707
sac_her_recovery_v2,action_clipping,0.3,0.0,-150.0,0.336927816199067,150.0,0.027436010539531677,0.5561703383922577,0.0,1.0,150,0.0,0.4809325249719904,0.0,1.0,0.0,0.2961865049943981,0.2461865049943981,0.2461865049943981
sac_her_recovery_v2,action_delay,0.0,0.0,-150.0,0.336927816199067,150.0,0.21317081451416015,1.2563439846038817,0.0,1.0,150,0.0,0.19896337983870005,0.0,1.0,0.0,0.23979267596774,0.18979267596774002,0.18979267596774002
sac_her_recovery_v2,action_reversal,0.0,0.0,-150.0,0.336927816199067,150.0,0.22994601875543588,1.167314922809601,0.0,1.0,150,0.0,0.1734964781157736,0.0,1.0,0.0,0.23469929562315472,0.1846992956231547,0.1846992956231547
sac_her_recovery_v2,clean,0.0,0.0,-150.0,0.336927816199067,150.0,0.26348245143890375,1.252431535720825,0.0,1.0,150,0.0,0.12258389171721523,0.0,1.0,1.0,0.4245167783434431,0.474516778343443,0.474516778343443
sac_her_recovery_v2,contact_dropout,0.0,0.0,-150.0,0.336927816199067,150.0,0.044267198443412724,1.2932098507881165,0.0,1.0,150,0.0,0.45538063290181385,0.0,1.0,0.0,0.2910761265803628,0.24107612658036276,0.24107612658036276
sac_her_recovery_v2,goal_spoof_immediate,0.1,0.0,-150.0,0.3370719419595086,150.0,0.20302970029413694,1.2083072393139203,0.0,1.0,150,0.0,0.2141546642721971,0.0,1.0,0.0,0.2428309328544394,0.19283093285443942,0.19283093285443942
sac_her_recovery_v2,goal_spoof_midep,0.1,0.0,-150.0,0.336927816199067,150.0,0.244811997115612,1.313580452601115,0.0,1.0,150,0.0,0.15092802503058098,0.0,1.0,0.0,0.23018560500611618,0.1801856050061162,0.1801856050061162
sac_her_recovery_v2,grip_state_falsification,0.0,0.0,-150.0,0.336927816199067,150.0,0.25997571796178814,1.2940783262252809,0.0,1.0,150,0.0,0.1279075608389575,0.0,1.0,0.0,0.22558151216779151,0.1755815121677915,0.1755815121677915
sac_her_recovery_v2,object_pose_spoof,0.1,0.0,-150.0,0.336927816199067,150.0,0.2331328469763199,1.2467819963892302,0.0,1.0,150,0.0,0.1686584660151871,0.0,1.0,0.0,0.23373169320303744,0.18373169320303742,0.18373169320303742
sac_her_recovery_v2,sensor_bias,0.1,0.0,-150.0,0.3421222986398635,150.0,0.10942761475841199,1.3789491138855616,0.006666666666666667,1.0,150,0.0,0.3490983838430424,0.0,0.9933333333333333,0.0,0.26848634343527517,0.21881967676860847,0.21881967676860847
sac_her_recovery_v2,sensor_dropout,0.0,0.0,-150.0,0.41732834707876776,150.0,0.027519882656633802,1.4709303379058838,0.0,1.0,150,0.0,0.36688017532947914,0.0,1.0,0.0,0.2733760350658958,0.22337603506589582,0.22337603506589582
