benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B0,sac_her,clean,0.0,1.0,-9.78,0.022742686877045233,150.0,0.19080292647083597,1.0098505405584972,0.0,0.0,150,1.0,0.0,1.0,1.0,1.0,0.8,0.8,0.8
B1,sac_her,action_clipping,0.3,0.9933333333333333,-32.486666666666665,0.02760888139427833,150.0,0.18165687593321,0.4208652581771215,0.0,0.0,150,0.9933333333333333,0.8738343586991828,0.9933333333333333,1.0,0.0,0.7721002050731699,0.6724335384065032,0.6724335384065032
B1,sac_her,action_delay,0.0,0.92,-26.7,0.05955491865224271,150.0,0.28087528978784876,1.1472375202178955,0.0,0.0,150,0.92,0.7730830311233794,0.92,1.0,0.0,0.7226166062246759,0.626616606224676,0.626616606224676
B1,sac_her,action_reversal,0.0,0.02,-147.0,0.25158581358306503,150.0,0.06096424254899219,1.3030657682816187,0.0,0.0,150,0.02,0.5001929756455502,0.02,1.0,0.0,0.3080385951291101,0.25703859512911004,0.25703859512911004
B1,sac_her,contact_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.03336600189407662,1.1990293284257254,0.0,0.0,150,0.02,0.5114421262812326,0.02,1.0,0.0,0.31028842525624656,0.2592884252562465,0.2592884252562465
B1,sac_her,goal_spoof_immediate,0.1,0.06,-141.31333333333333,0.09995288430584444,150.0,0.46393764182925223,1.1099635775883991,0.006666666666666667,0.0,150,0.06,0.6222005641727002,0.06,0.9933333333333333,0.0,0.3471067795012068,0.2944401128345401,0.2944401128345401
B1,sac_her,goal_spoof_midep,0.1,0.09333333333333334,-88.43333333333334,0.09430668692479091,150.0,0.35745212453107034,1.0903553513685862,0.0,0.0,150,0.09333333333333334,0.6762636837535214,0.09333333333333334,1.0,0.0,0.37258607008403766,0.31791940341737096,0.31791940341737096
B1,sac_her,grip_state_falsification,0.0,0.20666666666666667,-125.97333333333333,0.22128751801944635,150.0,0.9813448694472512,1.139566475947698,0.006666666666666667,0.0,150,0.20666666666666667,0.18224105478132904,0.20666666666666667,0.9933333333333333,0.0,0.31778154428959915,0.25778154428959915,0.25778154428959915
B1,sac_her,object_pose_spoof,0.1,0.26,-113.23333333333333,0.07083369117355831,150.0,0.2883639132107297,1.0705017252763112,0.006666666666666667,0.0,150,0.26,0.7487379417959423,0.26,0.9933333333333333,0.0,0.45241425502585514,0.38974758835918843,0.38974758835918843
B1,sac_her,sensor_bias,0.1,0.04,-144.24,0.31782086854458524,150.0,0.6613792632333935,1.1094950352609159,0.006666666666666667,0.0,150,0.04,0.13041923025249233,0.04,0.9933333333333333,0.0,0.24075051271716516,0.18908384605049847,0.18908384605049847
B1,sac_her,sensor_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,2.0829415840288116e-09,1.646635460058848,0.0,0.0,150,0.02,0.5250422380665741,0.02,1.0,0.0,0.3130084476133148,0.2620084476133148,0.2620084476133148
