benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B0,sac_her,clean,0.0,0.04,-144.28666666666666,0.25518826221308727,150.0,0.338714210189258,1.326282378832499,0.16,0.0,150,0.04,0.0,0.04,0.84,1.0,0.384,0.44,0.44
B1,sac_her,action_clipping,0.3,0.02666666666666667,-146.2,0.2522443989987104,150.0,0.2095564832476278,0.5267942214012146,0.0,0.0,150,0.02666666666666667,0.20461566516903257,0.02666666666666667,1.0,0.0,0.2515897997004732,0.20025646636713984,0.20025646636713984
B1,sac_her,action_delay,0.0,0.08,-139.25333333333333,0.24221181359940008,150.0,0.20951459534466263,1.3395194184780121,0.08,0.0,150,0.08,0.22770184890785725,0.08,0.92,0.0,0.26154036978157147,0.21154036978157148,0.21154036978157148
B1,sac_her,action_reversal,0.0,0.02,-147.0,0.25467595700183476,150.0,0.03872021967234706,0.9766740757226944,0.0,0.0,150,0.02,0.37514069564081914,0.02,1.0,0.0,0.2830281391281639,0.23202813912816384,0.23202813912816384
B1,sac_her,contact_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.035434586986278445,1.5989066926638285,0.0,0.0,150,0.02,0.38562524462834163,0.02,1.0,0.0,0.28512504892566837,0.23412504892566832,0.23412504892566832
B1,sac_her,goal_spoof_immediate,0.1,0.02666666666666667,-146.16,0.25900830588103546,150.0,0.320416903157408,1.2636133978764217,0.10666666666666667,0.0,150,0.02666666666666667,0.07479760403713641,0.02666666666666667,0.8933333333333333,0.0,0.20429285414076062,0.1582928541407606,0.1582928541407606
B1,sac_her,goal_spoof_midep,0.1,0.04,-144.28666666666666,0.26123119874535417,150.0,0.3012574683843801,1.335052148103714,0.16666666666666666,0.0,150,0.04,0.0894429026156542,0.04,0.8333333333333334,0.0,0.20055524718979753,0.15688858052313084,0.15688858052313084
B1,sac_her,grip_state_falsification,0.0,0.06,-141.28,0.2524807286392964,150.0,0.3194378095989425,1.2724374270439147,0.08,0.0,150,0.06,0.09079956552492545,0.06,0.92,0.0,0.2261599131049851,0.1771599131049851,0.1771599131049851
B1,sac_her,object_pose_spoof,0.1,0.05333333333333334,-142.52,0.26037412020820966,150.0,0.3293801469666262,1.251788974603017,0.12666666666666668,0.0,150,0.05333333333333334,0.062420646300775,0.05333333333333334,0.8733333333333333,0.0,0.20848412926015503,0.16215079592682163,0.16215079592682163
B1,sac_her,sensor_bias,0.1,0.04,-144.22666666666666,0.2514721045939138,150.0,0.38802200422622257,1.210467831393083,0.04666666666666667,0.0,150,0.04,0.022414843705449126,0.04,0.9533333333333334,0.0,0.2111496354077565,0.1614829687410898,0.1614829687410898
B1,sac_her,sensor_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,6.4460880137377314e-09,1.4267120977242789,0.0,0.0,150,0.02,0.4221536684334324,0.02,1.0,0.0,0.2924307336866865,0.2414307336866865,0.2414307336866865
B2,sac_her_recovery_v2,action_clipping,0.3,0.03333333333333333,-145.6,0.24389188640828938,150.0,0.1995673175404469,0.5444618358214697,0.0,1.0,150,0.03333333333333333,0.2704975526645619,0.03333333333333333,1.0,0.0066666666666666645,0.268766177199579,0.21776617719957903,0.21776617719957903
