benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B0,sac_her,clean,0.0,0.44666666666666666,-90.03333333333333,0.18783347081267568,150.0,0.47093547211339076,1.1811222249269486,0.14,0.0,150,0.44666666666666666,0.0,0.44666666666666666,0.86,1.0,0.5506666666666667,0.5853333333333333,0.5853333333333333
B1,sac_her,action_clipping,0.3,0.46,-97.0,0.18347538398105612,150.0,0.25821967234058923,0.5160441160202026,0.0,0.0,150,0.46,0.4213566297348212,0.46,1.0,0.0,0.4682713259469642,0.39527132594696424,0.39527132594696424
B1,sac_her,action_delay,0.0,0.35333333333333333,-108.18,0.2505334360990424,150.0,0.39466215627267953,1.3300312199195226,0.1,0.0,150,0.35333333333333333,0.17932386580347157,0.35333333333333333,0.9,0.0,0.35719810649402767,0.29453143982736096,0.29453143982736096
B1,sac_her,action_reversal,0.0,0.02,-147.0,0.26032783819021144,150.0,0.05692306394067899,1.2513520513971648,0.0,0.0,150,0.02,0.4036857793564888,0.02,1.0,0.0,0.2887371558712978,0.23773715587129776,0.23773715587129776
B1,sac_her,contact_dropout,0.0,0.02,-147.02,0.27814035323044006,150.0,0.07981963353852427,1.5812197820345562,0.0,0.0,150,0.02,0.3490862495743208,0.02,1.0,0.0,0.2778172499148642,0.22681724991486416,0.22681724991486416
B1,sac_her,goal_spoof_immediate,0.1,0.05333333333333334,-142.05333333333334,0.25336012672994407,150.0,0.4328658126791318,1.2371017132202784,0.17333333333333334,0.0,150,0.05333333333333334,0.14555699446706555,0.05333333333333334,0.8266666666666667,0.0,0.2157780655600798,0.1717780655600798,0.1717780655600798
B1,sac_her,goal_spoof_midep,0.1,0.2,-111.21333333333334,0.24282619347116488,150.0,0.5218870235234498,1.2715133361021678,0.25333333333333335,0.0,150,0.2,0.10337291318357841,0.2,0.7466666666666666,0.0,0.250007915970049,0.20267458263671567,0.20267458263671567
B1,sac_her,grip_state_falsification,0.0,0.34,-105.48666666666666,0.2802576892533312,150.0,0.4020025321654975,1.2295850386222205,0.12666666666666668,0.0,150,0.34,0.11062606201265325,0.34,0.8733333333333333,0.0,0.3327918790691973,0.2721252124025306,0.2721252124025306
B1,sac_her,object_pose_spoof,0.1,0.08666666666666667,-137.06666666666666,0.2628325960613348,150.0,0.5508663249822955,1.2831139749288558,0.16666666666666666,0.0,150,0.08666666666666667,0.039679489358134964,0.08666666666666667,0.8333333333333334,0.0,0.20926923120496035,0.16326923120496034,0.16326923120496034
B1,sac_her,sensor_bias,0.1,0.03333333333333333,-145.24666666666667,0.2754202613914711,150.0,0.3265720244807501,1.4101004920403162,0.03333333333333333,0.0,150,0.03333333333333333,0.17571102531316501,0.03333333333333333,0.9666666666666667,0.0,0.24180887172929966,0.19180887172929967,0.19180887172929967
B1,sac_her,sensor_dropout,0.0,0.02,-147.0,0.28144527041523254,150.0,0.0025278940029905997,1.5637813452879588,0.0,0.0,150,0.02,0.3981644229183392,0.02,1.0,0.0,0.28763288458366787,0.23663288458366785,0.23663288458366785
B2,sac_her_recovery_v2,action_clipping,0.3,0.46,-97.57333333333334,0.1811850181426194,150.0,0.26907955273985856,0.5267600534359614,0.0,1.0,150,0.46,0.3964562745241357,0.46,1.0,0.0,0.46329125490482714,0.3902912549048272,0.3902912549048272
B2,sac_her_recovery_v2,action_delay,0.0,0.3333333333333333,-112.54,0.25735958719853047,150.0,0.4138078194111585,1.2782624820868174,0.22666666666666666,0.9733333333333334,150,0.3333333333333333,0.12012081140932773,0.3333333333333333,0.7733333333333333,0.0,0.3120241622818656,0.25669082894853223,0.25669082894853223
B2,sac_her_recovery_v2,action_reversal,0.0,0.02,-147.0,0.25509085667370496,150.0,0.09447785447041189,1.2232225876053173,0.013333333333333334,1.0,150,0.02,0.3535556356401564,0.02,0.9866666666666667,0.0,0.27604446046136466,0.22571112712803126,0.22571112712803126
B2,sac_her_recovery_v2,clean,0.0,0.47333333333333333,-87.33333333333333,0.1764339338282208,150.0,0.49060506620754796,1.1613237655162811,0.19333333333333333,0.8,150,0.47333333333333333,0.2488717501041245,0.47333333333333333,0.8066666666666666,1.0,0.6004410166874916,0.6364410166874915,0.6364410166874915
B2,sac_her_recovery_v2,contact_dropout,0.0,0.02,-147.02,0.26418668538331813,150.0,0.2848469986269871,1.4871765565872193,0.08,0.9933333333333333,150,0.02,0.19682035113037283,0.02,0.92,0.0,0.2313640702260746,0.1843640702260746,0.1843640702260746
