benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B0,sac_her,clean,0.0,0.013333333333333334,-147.98,0.2549763909834353,150.0,0.17910648259644701,1.1051087061564127,0.0,0.0,150,0.013333333333333334,0.0,0.013333333333333334,1.0,1.0,0.4053333333333333,0.45466666666666666,0.45466666666666666
B1,sac_her,action_clipping,0.3,0.013333333333333334,-147.93333333333334,0.2716311921149832,150.0,0.07696223287571527,0.4928934215505918,0.0,0.0,150,0.013333333333333334,0.23756507604368898,0.013333333333333334,1.0,0.0,0.2528463485420711,0.20217968187540447,0.20217968187540447
B1,sac_her,action_delay,0.0,0.013333333333333334,-147.98,0.26853452830309443,150.0,0.12338129700471953,1.1230362385511399,0.006666666666666667,0.0,150,0.013333333333333334,0.14643409375185937,0.013333333333333334,0.9933333333333333,0.0,0.23328681875037188,0.18295348541703854,0.18295348541703854
B1,sac_her,action_reversal,0.0,0.02,-147.0,0.2546370590308823,150.0,0.10630784506599104,1.1183389857411385,0.0,0.0,150,0.02,0.21316678000735148,0.02,1.0,0.0,0.2506333560014703,0.1996333560014703,0.1996333560014703
B1,sac_her,contact_dropout,0.0,0.02,-147.0,0.251530757198036,150.0,0.0714823207041869,1.417401646375656,0.0,0.0,150,0.02,0.2935302635733191,0.02,1.0,0.0,0.2667060527146638,0.2157060527146638,0.2157060527146638
B1,sac_her,goal_spoof_immediate,0.1,0.006666666666666667,-148.92666666666668,0.257892486917542,150.0,0.12075168498481309,1.1822659993171691,0.006666666666666667,0.0,150,0.006666666666666667,0.17549106406898418,0.006666666666666667,0.9933333333333333,0.0,0.23643154614713016,0.18643154614713017,0.18643154614713017
B1,sac_her,goal_spoof_midep,0.1,0.013333333333333334,-147.98,0.25429297394444283,150.0,0.1768549824195603,1.1842151808738708,0.0,0.0,150,0.013333333333333334,0.06503146800144852,0.013333333333333334,1.0,0.0,0.21833962693362305,0.16767296026695636,0.16767296026695636
B1,sac_her,grip_state_falsification,0.0,0.013333333333333334,-148.03333333333333,0.25883273164879744,150.0,0.18952139355552688,1.1124178024133047,0.0,0.0,150,0.013333333333333334,0.028270230012688913,0.013333333333333334,1.0,0.0,0.2109873793358711,0.16032071266920445,0.16032071266920445
B1,sac_her,object_pose_spoof,0.1,0.013333333333333334,-147.98666666666668,0.25554482470080797,150.0,0.14938144033153847,1.103220510582129,0.006666666666666667,0.0,150,0.013333333333333334,0.12025138251894821,0.013333333333333334,0.9933333333333333,0.0,0.22805027650378965,0.1777169431704563,0.1777169431704563
B1,sac_her,sensor_bias,0.1,0.02,-147.0,0.26031788602313954,150.0,0.05104471772521109,1.40206382950147,0.006666666666666667,0.0,150,0.02,0.3172557626678969,0.02,0.9933333333333333,0.0,0.2701178192002461,0.21945115253357939,0.21945115253357939
B1,sac_her,sensor_dropout,0.0,0.02,-147.0,0.2623389066757695,150.0,0.0006102019370446816,1.4090505049626032,0.0,0.0,150,0.02,0.41923763945115206,0.02,1.0,0.0,0.29184752789023044,0.24084752789023042,0.24084752789023042
B2,sac_her_recovery_v2,action_clipping,0.3,0.013333333333333334,-147.92,0.2518058274015772,150.0,0.09485710270081954,0.49715827822685243,0.0,1.0,150,0.013333333333333334,0.25737974180086004,0.013333333333333334,1.0,0.0,0.25680928169350536,0.20614261502683867,0.20614261502683867
